Category ID,Category name,UNIX time,Date (America/Toronto HNE),Text
5,"ant-16",1670003682,"2 déc. 2022 (ven.) 12:54:42","kss_pre_pretest"
5,"ant-16",1670003727,"2 déc. 2022 (ven.) 12:55:27","ospan_pretest"
5,"ant-16",1670004831,"2 déc. 2022 (ven.) 13:13:51","kss_mid_pretest"
5,"ant-16",1670004871,"2 déc. 2022 (ven.) 13:14:31","ant_pretest"
5,"ant-16",1670005396,"2 déc. 2022 (ven.) 13:23:16","kss_post_pretest"
5,"ant-16",1670005427,"2 déc. 2022 (ven.) 13:23:47","ac-cpt"
5,"ant-16",1670006137,"2 déc. 2022 (ven.) 13:35:37","kss1"
5,"ant-16",1670006619,"2 déc. 2022 (ven.) 13:43:39","kss2"
5,"ant-16",1670007099,"2 déc. 2022 (ven.) 13:51:39","kss3"
5,"ant-16",1670007140,"2 déc. 2022 (ven.) 13:52:20","intervention_urbaib"
5,"ant-16",1670007646,"2 déc. 2022 (ven.) 14:00:46","kss4"
5,"ant-16",1670008074,"2 déc. 2022 (ven.) 14:07:54","kss5"
5,"ant-16",1670008106,"2 déc. 2022 (ven.) 14:08:26","ant_posttest"
5,"ant-16",1670008617,"2 déc. 2022 (ven.) 14:16:57","kss_mid_posttest"
5,"ant-16",1670008652,"2 déc. 2022 (ven.) 14:17:32","ospan_posttest"
5,"ant-16",1670009494,"2 déc. 2022 (ven.) 14:31:34","kss_post_postest"
