Category ID,Category name,UNIX time,Date (America/Toronto HNE),Text
3,"ANT-48",1702673659,"15 déc. 2023 (ven.) 15:54:19","KSS  pré-prétest"
3,"ANT-48",1702673728,"15 déc. 2023 (ven.) 15:55:28","OSPAN prétest"
3,"ANT-48",1702675217,"15 déc. 2023 (ven.) 16:20:17","KSS mid-prétest"
3,"ANT-48",1702675241,"15 déc. 2023 (ven.) 16:20:41","ANT prétest"
3,"ANT-48",1702675794,"15 déc. 2023 (ven.) 16:29:54","KSS post-prétest"
3,"ANT-48",1702675840,"15 déc. 2023 (ven.) 16:30:40","AX-CPT"
3,"ANT-48",1702676666,"15 déc. 2023 (ven.) 16:44:26","KSS-1"
3,"ANT-48",1702677168,"15 déc. 2023 (ven.) 16:52:48","KSS-2"
3,"ANT-48",1702677653,"15 déc. 2023 (ven.) 17:00:53","KSS-3"
3,"ANT-48",1702677728,"15 déc. 2023 (ven.) 17:02:08","Intervention urbaine"
3,"ANT-48",1702678304,"15 déc. 2023 (ven.) 17:11:44","KSS-4"
3,"ANT-48",1702678748,"15 déc. 2023 (ven.) 17:19:08","KSS-5"
3,"ANT-48",1702678767,"15 déc. 2023 (ven.) 17:19:27","ANT posttest"
3,"ANT-48",1702679312,"15 déc. 2023 (ven.) 17:28:32","KSS mid-posttest"
3,"ANT-48",1702679332,"15 déc. 2023 (ven.) 17:28:52","OSPAN posttest"
3,"ANT-48",1702680448,"15 déc. 2023 (ven.) 17:47:28","KSS post-posttest"
