Category ID,Category name,UNIX time,Date (America/Toronto HNE),Text
8,"ANT-53",1706713425,"31 janv. 2024 (mer.) 10:03:45","KSS pré-prétest"
8,"ANT-53",1706713475,"31 janv. 2024 (mer.) 10:04:35","ANT prétest"
8,"ANT-53",1706713985,"31 janv. 2024 (mer.) 10:13:05","KSS mid-prétest"
8,"ANT-53",1706714000,"31 janv. 2024 (mer.) 10:13:20","OSPAN pretest"
8,"ANT-53",1706715072,"31 janv. 2024 (mer.) 10:31:12","KSS post-prétest"
8,"ANT-53",1706715093,"31 janv. 2024 (mer.) 10:31:33","AX-CPT"
8,"ANT-53",1706715802,"31 janv. 2024 (mer.) 10:43:22","KSS1"
8,"ANT-53",1706716291,"31 janv. 2024 (mer.) 10:51:31","KSS2"
8,"ANT-53",1706716770,"31 janv. 2024 (mer.) 10:59:30","KSS3"
8,"ANT-53",1706716793,"31 janv. 2024 (mer.) 10:59:53","Intervention nature"
8,"ANT-53",1706717285,"31 janv. 2024 (mer.) 11:08:05","KSS4"
8,"ANT-53",1706717668,"31 janv. 2024 (mer.) 11:14:28","KSS5"
8,"ANT-53",1706717683,"31 janv. 2024 (mer.) 11:14:43","OSPAN posttest"
8,"ANT-53",1706718497,"31 janv. 2024 (mer.) 11:28:17","KSS midposttest"
8,"ANT-53",1706718522,"31 janv. 2024 (mer.) 11:28:42","ANT posttest"
8,"ANT-53",1706719025,"31 janv. 2024 (mer.) 11:37:05","KSS post-posttest"
